Project ,https://demowebshop.tricentis.com/,,,,,
Date,29.09.2022,,,,,
Build ,1.0 ,,,,,
Tester ,Oleksii Budkov,,,,,
Enviroment ,Windows 10 Pro Version 21H2 ,,,,,
,Google Chrome 105.0.5195.127  ,,,,,
Module,,Summary,,,,Status
,,,,,,
Оплата заказа кредитной картой ,,Страница оплаты работает только на HTTPS,,,,Passed
,,,,,,
,,Поддерживает все типы платежных карт ,,,,Failed
,,,,,,
,,"В платежном адресе есть ""Dropdown"" меню для выбора ",,,,Passed
,,,,,,
,,"Над ""Dropdown"" меню находится текстовое сообщение: "" Select a billing address from your address book or enter a new address ""
 ",,,,Passed
,,,,,,
,,,,,,
,,,,,,
,,"Выбор "" New Address "" открывает TextField, где есть возможность указать новый адрес, который после сохранения добавляется в "" Dropdown "" меню",,,,Passed
,,,,,,
,,,,,,
,,,,,,
,,"В адресе доставки есть ""Dropdown"" меню для выбора",,,,Passed
,,,,,,
,,,,,,
,,"Кнопка ""Checkbox"" для выбора "" In-Store Pickup ""  ",,,,Passed
,,,,,,
,,"При выборе "" In-Store Pickup "", открывается поле, где указываешь адрес магазина для самовывоза ",,,,Failed
,,,,,,
,,"Во вкладке ""Shipping Address"" реализована checkout ""Back"" для возврата на вкладку ""Billing Address""",,,,Passed
,,,,,,
,,"Во вкладке ""Shipping Method"" реализована ""Radiobutton"" для выбора способа доставки",,,,Passed
,,,,,,
,,,,,,
,,"Во вкладке ""Shipping Method"" реализована checkout ""Back"" для возврата во вкладку ""Shipping Address""",,,,Passed
,,,,,,
,,"Во вкладке ""Payment Method"" реализована ""Radiobutton"" для выбора способа оплаты",,,,Passed
,,,,,,
,,"Во вкладке ""Payment Method"" реализована checkout ""Back"" для возврата во вкладку ""Shipping Method""",,,,Passed
,,,,,,
,,"Во вкладке ""Payment Information"" при выборе ""Credit Card"" появляются обязательные поля для заполнения ",,,,Passed
,,,,,,
,,,,,,
,,"Поддерживает все типы карт, и те, у которых длина количества символов выше 16",,,,No Run
,,,,,,
,,"При оставлении обязательных полей пустыми, всплывает текстовая подсказка красным цветом, что нужно заполнить: ""1. Enter cardholder name, 2. Wrong card number,
3. Wrong card code ",,,,Passed
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"На странице есть все необходимые по стандартам элементы (логотипы Visa/MasterCard, если требуется — оферта с условиями проведения платежа)",,,,Failed
,,,,,,
,,,,,,
,,,,,,
,,"Во вкладке ""Payment Information"" реализована checkout ""Back"" для возврата во вкладку ""Payment Method""",,,,Passed
,,,,,,
,,,,,,
,,"Во вкладке ""Confirm order"" указаны все введные данные во вкладках "" 1. Billing Address, 2. Shipping Address, 3. Payment Method, 4. Shipping Method """,,,,Passed
,,,,,,
,,,,,,
,,"Во вкладке ""Confirm order"" есть возможность изменить заказ ",,,,Failed
,,,,,,
,,,,,,
,,"Правильно калькулируется общая сумма в разделе ""Sub-Total"" и ""Total""",,,,Passed
,,,,,,
,,"Реализована проверка формата ввода для формы ""Количество товаров""(вводятся только цифры, имеется возможность увелечения/уменьшения количества товаров нажатием на кнопки ""+"" или ""-""",,,,Failed
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"Навигация ""хлебная крошка"" в наличии",,,,Failed
,,,,,,
,,"Во вкладке ""Confirm order"" реализована checkout ""Back"" для возврата во вкладку ""Payment Information""",,,,Passed
,,,,,,
,,,,,,
,,,,,,
,,"При нажатии button ""Confirm"" происходит переход на страницу https://demowebshop.tricentis.com/checkout/completed/ На странице указано текстовое сообщение: ""Your order has been successfully processed!"", уникальный номер заказа ",,,,Passed
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"При нажатии на: ""Click here for order details"" осуществляется переход на страницу orderdetails. Где всю подвержденную информацию о заказе есть возможность распечатать или сохранить в формате PDF",,,,Passed
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"Button ""Re-order"" возвращает во вкладку ""Shopping cart"" со всеми покупками ",,,,Passed
